arxiv_id,source,label,tag,title,primary_category,submitted_date,abstract_clean,reason,paper_url,full_text_url,review_basis
2605.15077,keyword,1,,Concurrency without Model Changes: Future-based Asynchronous Function Calling for LLMs,cs.CL,2026-05-14T17:02:28+00:00,"Function calling, also known as tool use, is a core capability of modern LLM agents but is typically constrained by synchronous execution semantics. Under these semantics, LLM decoding is blocked until each function call completes, resulting in increasing end-to-end latency. In this work, we introduce AsyncFC, a pure execution-layer framework that decouples LLM decoding from function execution, enabling overlap between model decoding and function execution as well as inter-function parallelism when dependencies permit. AsyncFC layers over existing models and unmodified function implementations, requiring no fine-tuning or changes to the standard synchronous function-calling protocol. Across standard function-calling benchmarks and adapted software engineering benchmarks, AsyncFC significantly reduces end-to-end task completion time while preserving task accuracy. Furthermore, these results reveal that LLMs possess a native capability to reason over symbolic futures that represent unresolved execution results, enabling an asynchronous paradigm for model-tool interaction.",모델 수정 없이 decoding과 function 실행을 비동기화해 의존성이 없는 도구 호출을 병렬 처리하고 실제 소프트웨어 작업 지연을 줄인다.,https://arxiv.org/abs/2605.15077,https://arxiv.org/pdf/2605.15077,"arXiv ID 원문: 초록, 서론·핵심 기여, 실험, 결론을 확인하여 프로필 관련성 판정"
2606.25819,keyword,1,,Beyond Function Calling: Benchmarking Tool-Using Agents under Tool-Environment Unreliability,cs.CL,2026-06-24T13:34:34+00:00,"Large language models are increasingly deployed as agents that solve tasks by interacting with external tool environments. Although recent tool-use benchmarks increasingly cover complex task settings, they still largely assume clean, stable, and trustworthy tool environments, leaving tool-environment unreliability insufficiently examined. We introduce ToolBench-X, a benchmark for evaluating agents under recoverable reliability hazards. ToolBench-X contains executable multi-step tasks across diverse domains and sequential, parallel, and mixed workflows, each paired with deterministic tools and a canonical final answer for automatic evaluation. Starting from clean tool environments, ToolBench-X injects five structured hazard types: Specification Drift, Invocation Error, Execution Failure, Output Drift, and Cross-source Conflict. Crucially, each injected instance remains solvable through at least one valid recovery path, such as retrying, fallback, verification, or cross-checking. Experiments reveal a substantial reliability gap: agents that perform well with reliable tools often fail under recoverable hazards. Further analysis shows that failures are driven less by tool-use volume or inference budget than by limited hazard diagnosis and ineffective recovery. Targeted recovery hints recover many failed tasks, while test-time scaling yields more limited gains. These results suggest that tool-use evaluation should move beyond function-call accuracy toward task completion under unreliable tool environments. The code and data is available at https://github.com/Foreverskyou/ToolBench-X.",명세 변화·호출 오류·실행 실패·출력 변화·근거 충돌이 있는 실행형 tool environment에서 agent 복구 신뢰성을 평가한다.,https://arxiv.org/abs/2606.25819,https://arxiv.org/pdf/2606.25819,"arXiv ID 원문: 초록, 서론·핵심 기여, 실험, 결론을 확인하여 프로필 관련성 판정"
2509.26553,keyword,1,,"Towards Reliable Benchmarking: A Contamination Free, Controllable Evaluation Framework for Multi-step LLM Function Calling",cs.CL,2025-09-30T17:21:17+00:00,"Existing benchmarks for tool-augmented language models (TaLMs) lack fine-grained control over task difficulty and remain vulnerable to data contamination. We present FuncBenchGen, a unified, contamination-free framework that evaluates TaLMs by generating synthetic multi-step tool-use tasks to stress-test TaLMs. The key idea is to cast tool use as traversal over a hidden function-dependency DAG where models must infer the correct sequence of calls to compute a target value. FuncBenchGen allows precise control over task difficulty (e.g., graph size, dependency depth, and distractor functions) while avoiding pretraining/test-time leakage. Our evaluation demonstrates reasoning-optimized models consistently outperform general-purpose models with GPT-5 significantly outperforming other available models. Performance declines sharply as dependency depth increases. Furthermore, connected distractors -- irrelevant functions sharing type-compatible variables with relevant functions -- prove especially difficult to handle. Also, strong models often make syntactically valid function calls but propagate incorrect or stale argument values across steps, revealing brittle state tracking by LLMs in multi-turn tool use. Motivated by this observation, we introduce a simple mitigation strategy that explicitly restates prior variable values to the agent at each step. Surprisingly, this lightweight change yields substantial gains across models. e.g., yielding an improvement in success rate from 62.5% to 81.3% for GPT-5.",숨은 function-dependency DAG로 오염 없는 다단계 호출 과제를 생성해 function calling 계획 능력을 통제 가능하게 평가한다.,https://arxiv.org/abs/2509.26553,https://arxiv.org/pdf/2509.26553,"arXiv ID 원문: 초록, 서론·핵심 기여, 실험, 결론을 확인하여 프로필 관련성 판정"
2509.04518,keyword,1,,Advancing SLM Tool-Use Capability using Reinforcement Learning,cs.CL,2025-09-03T07:41:14+00:00,"In an era where tool-augmented AI agents are becoming increasingly vital, our findings highlight the ability of Group Relative Policy Optimization (GRPO) to empower SLMs, which are traditionally constrained in tool use. The ability to use tools effectively has become a defining feature of Large Language Models (LLMs), allowing them to access external data and internal resources. As AI agents grow more sophisticated, tool-use capabilities have become indispensable. While LLMs have made significant progress in this area, Small Language Models (SLMs) still face challenges in accurately integrating tool use, especially in resource-constrained settings. This study investigates how Reinforcement Learning, specifically Group Relative Policy Optimization (GRPO), can enhance the tool-use accuracy of SLMs. By designing a well-defined reward system that reinforces structured JSON output, correct tool selection, and precise parameter usage, we demonstrate that GRPO enables SLMs to achieve significant improvements in tool-use capabilities (function calling/JSON output). Our approach provides a computationally efficient training method that enhances SLMs practical deployment in real-world AI applications.",구조화 JSON·정확한 도구 선택·인자 생성을 보상하는 RL로 소형 언어모델의 소프트웨어 tool-use 정확도를 향상한다.,https://arxiv.org/abs/2509.04518,https://arxiv.org/pdf/2509.04518,"arXiv ID 원문: 초록, 서론·핵심 기여, 실험, 결론을 확인하여 프로필 관련성 판정"
2604.22985,keyword,1,,Uncertainty Quantification for LLM Function-Calling,cs.CL,2026-04-24T19:56:39+00:00,"Large Language Models (LLMs) are increasingly deployed to autonomously solve real-world tasks. A key ingredient for this is the LLM Function-Calling paradigm, a widely used approach for equipping LLMs with tool-use capabilities. However, an LLM calling functions incorrectly can have severe implications, especially when their effects are irreversible, e.g., transferring money or deleting data. Hence, it is of paramount importance to consider the LLM's confidence that a function call solves the task correctly prior to executing it. Uncertainty Quantification (UQ) methods can be used to quantify this confidence and prevent potentially incorrect function calls. In this work, we present what is, to our knowledge, the first evaluation of UQ methods for LLM Function-Calling (FC). While multi-sample UQ methods, such as Semantic Entropy, show strong performance for natural language Q&A tasks, we find that in the FC setting, it offers no clear advantage over simple single-sample UQ methods. Additionally, we find that the particularities of FC outputs can be leveraged to improve the performance of existing UQ methods in this setting. Specifically, multi-sample UQ methods benefit from clustering FC outputs based on their abstract syntax tree parsing, while single-sample UQ methods can be improved by selecting only semantically meaningful tokens when calculating logit-based uncertainty scores.",오류 시 위험한 function call을 실행하기 전에 신뢰도를 판단하도록 function-calling uncertainty quantification 방법을 비교·평가한다.,https://arxiv.org/abs/2604.22985,https://arxiv.org/pdf/2604.22985,"arXiv ID 원문: 초록, 서론·핵심 기여, 실험, 결론을 확인하여 프로필 관련성 판정"
2511.18413,keyword,1,,Multi-Agent Collaborative Filtering: Orchestrating Users and Items for Agentic Recommendations,cs.CL,2025-11-23T11:57:10+00:00,"Agentic recommendations cast recommenders as large language model (LLM) agents that can plan, reason, use tools, and interact with users of varying preferences in web applications. However, most existing agentic recommender systems focus on generic single-agent plan-execute workflows or multi-agent task decomposition pipelines. Without recommendation-oriented design, they often underuse the collaborative signals in the user-item interaction history, leading to unsatisfying recommendation results. To address this, we propose the Multi-Agent Collaborative Filtering (MACF) framework for agentic recommendations, drawing an analogy between traditional collaborative filtering algorithms and LLM-based multi-agent collaboration. Specifically, given a target user and query, we instantiate similar users and relevant items as LLM agents with unique profiles. Each agent is able to call retrieval tools, suggest candidate items, and interact with other agents. Different from the static preference aggregation in traditional collaborative filtering, MACF employs a central orchestrator agent to adaptively manage the collaboration between user and item agents via dynamic agent recruitment and personalized collaboration instruction. Experimental results on datasets from three different domains show the advantages of our MACF framework compared to strong agentic recommendation baselines.",사용자·아이템을 역할별 LLM agent로 구성하고 retrieval tool과 협업 구조를 통해 agentic recommendation을 수행한다.,https://arxiv.org/abs/2511.18413,https://arxiv.org/pdf/2511.18413,"arXiv ID 원문: 초록, 서론·핵심 기여, 실험, 결론을 확인하여 프로필 관련성 판정"
2508.14323,keyword,1,,Beyond Semantic Similarity: Reducing Unnecessary API Calls via Behavior-Aligned Retriever,cs.CL,2025-08-20T00:35:50+00:00,"Tool-augmented large language models (LLMs) leverage external functions to extend their capabilities, but inaccurate function calls can lead to inefficiencies and increased costs.Existing methods address this challenge by fine-tuning LLMs or using demonstration-based prompting, yet they often suffer from high training overhead and fail to account for inconsistent demonstration samples, which misguide the model's invocation behavior. In this paper, we trained a behavior-aligned retriever (BAR), which provides behaviorally consistent demonstrations to help LLMs make more accurate tool-using decisions. To train the BAR, we construct a corpus including different function-calling behaviors, i.e., calling or non-calling.We use the contrastive learning framework to train the BAR with customized positive/negative pairs and a dual-negative contrastive loss, ensuring robust retrieval of behaviorally consistent examples.Experiments demonstrate that our approach significantly reduces erroneous function calls while maintaining high task performance, offering a cost-effective and efficient solution for tool-augmented LLMs.",호출·비호출 행동에 맞는 시연을 검색하는 behavior-aligned retriever로 불필요하거나 잘못된 API call을 줄인다.,https://arxiv.org/abs/2508.14323,https://arxiv.org/pdf/2508.14323,"arXiv ID 원문: 초록, 서론·핵심 기여, 실험, 결론을 확인하여 프로필 관련성 판정"
2606.02871,keyword,1,,Adaptive Latent Agentic Reasoning,cs.CL,2026-06-01T20:36:06+00:00,"Large reasoning models improve performance by generating extended chain-of-thought (CoT) reasoning, but this behavior becomes inefficient when applied to LLM agents. Current LLM agents often generate verbose textual reasoning at every decision step and allocate reasoning effort nearly uniformly across turns, leading to substantial inefficiency in multi-turn agentic trajectories. We propose Adaptive Latent Agentic Reasoning (ALAR), a dual-mode framework that uses compact latent reasoning for routine turns and selectively escalates to explicit chain-of-thought when deeper deliberation is needed. ALAR learns latent reasoning by using the agent's actions as supervision anchors and is further optimized to use latent reasoning when it is sufficient for task success and reserve explicit CoT for harder decisions. Experiments on agentic search and tool-use benchmarks show that ALAR maintains comparable or better task accuracy while substantially reducing generated tokens by up to 43.6% in search and 84.6% in tool use. These results demonstrate that ALAR improves the accuracy-efficiency trade-off of LLM agents by reducing unnecessary textual reasoning while preserving explicit deliberation for harder decision steps.","다중 턴 search·tool-use agent가 쉬운 단계는 latent reasoning, 어려운 단계는 명시적 CoT를 선택하도록 해 비용과 성공률을 개선한다.",https://arxiv.org/abs/2606.02871,https://arxiv.org/pdf/2606.02871,"arXiv ID 원문: 초록, 서론·핵심 기여, 실험, 결론을 확인하여 프로필 관련성 판정"
2601.00268,keyword,1,,Beyond Perfect APIs: A Comprehensive Evaluation of LLM Agents Under Real-World API Complexity,cs.CL,2026-01-01T09:19:20+00:00,"We introduce WildAGTEval, a benchmark designed to evaluate large language model (LLM) agents' function-calling capabilities under realistic API complexity. Unlike prior work that assumes an idealized API system and disregards real-world factors such as noisy API outputs, WildAGTEval accounts for two dimensions of real-world complexity: 1. API specification, which includes detailed documentation and usage constraints, and 2. API execution, which captures runtime challenges. Consequently, WildAGTEval offers (i) an API system encompassing 60 distinct complexity scenarios that can be composed into approximately 32K test configurations, and (ii) user-agent interactions for evaluating LLM agents on these scenarios. Using WildAGTEval, we systematically assess several advanced LLMs and observe that most scenarios are challenging, with irrelevant information complexity posing the greatest difficulty and reducing the performance of strong LLMs by 27.3%. Furthermore, our qualitative analysis reveals that LLMs occasionally distort user intent merely to claim task completion, critically affecting user satisfaction.",복잡한 명세·노이즈·실행 실패 등 현실적인 API 조건을 조합해 LLM agent의 function-calling 신뢰성을 평가한다.,https://arxiv.org/abs/2601.00268,https://arxiv.org/pdf/2601.00268,"arXiv ID 원문: 초록, 서론·핵심 기여, 실험, 결론을 확인하여 프로필 관련성 판정"
2509.14477,keyword,1,,Ticket-Bench: A Kickoff for Multilingual and Regionalized Agent Evaluation,cs.CL,2025-09-17T23:13:47+00:00,"Large language models (LLMs) are increasingly deployed as task-oriented agents, where success depends on their ability to generate accurate function calls under realistic, multilingual conditions. However, existing agent evaluations largely overlook cultural and linguistic diversity, often relying on monolingual or naively translated benchmarks. We introduce Ticket-Bench, a benchmark for multilingual agent evaluation in task-oriented scenarios. Ticket-Bench simulates the domain of soccer ticket purchases across six major languages: Portuguese, English, Spanish, German, Italian, and French. Using localized teams, cities, and user profiles to provide a higher level of realism. We evaluate a wide range of commercial and open-source LLMs, measuring function-calling accuracy and consistency across languages. Results show that reasoning-oriented models (e.g., GPT-5, Qwen3-235B) dominate performance but still exhibit notable cross-lingual disparities. These findings underscore the need for culturally aware, multilingual benchmarks to guide the development of robust LLM agents.",지역화된 ticket 구매 환경에서 여러 언어의 function-calling 정확도와 일관성을 평가하는 agent benchmark다.,https://arxiv.org/abs/2509.14477,https://arxiv.org/pdf/2509.14477,"arXiv ID 원문: 초록, 서론·핵심 기여, 실험, 결론을 확인하여 프로필 관련성 판정"
